Legal Account Name,Address
University of Arizona,"1200 E University Blvd, Tucson, AZ 85721"
Boston University,"Commonwealth Ave, Boston, MA 02215"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
University of Texas MD Anderson Cancer Center,"1515 Holcombe Blvd, Houston, TX 77030"
Indiana University Bloomington,"107 S Indiana Ave, Bloomington, IN 47405"
University of Utah,"201 Presidents' Cir, Salt Lake City, UT 84112"
Emory University,"201 Dowman Dr, Atlanta, GA 30322"
Baylor College of Medicine,"1 Baylor Plz, Houston, TX 77030"
Case Western Reserve University,"10900 Euclid Ave, Cleveland, OH 44106"
University of Iowa,"Iowa City, IA 52242"
Michigan State University,"East Lansing, MI"
Rice University,"6100 Main St, Houston, TX 77005"
University of Colorado Anschutz Medical Campus,"13001 E 17th Pl, Aurora, CO 80045"
University of Massachusetts Amherst,"300 Massachusetts Ave, Amherst, MA 01003"
Iowa State University,"Ames, IA 50011"
University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556"
Icahn School of Medicine at Mount Sinai,"1 Gustave L. Levy Pl, New York, NY 10029"
University of Alabama at Birmingham,"1720 University Blvd, Birmingham, AL 35294"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
Tufts University,"419 Boston Ave, Medford, MA 02155"
University of Iowa,"Iowa City, IA 52242"
Michigan State University,"East Lansing, MI"
Iowa State University,"Ames, IA 50011"
Arizona State University,"1151 S Forest Ave, Tempe, AZ"
University of Kansas,"1450 Jayhawk Blvd, Lawrence, KS 66045"
North Carolina State University,"Raleigh, NC 27695"
University of Connecticut,"352 Mansfield Rd, Storrs, CT 06269"
Stony Brook University,"100 Nicolls Rd, Stony Brook, NY 11794"
Brandeis University,"415 South St, Waltham, MA 02453"
University of Georgia,"University of Georgia Chapel, Herty Dr, Athens, GA 30602"
Yeshiva University,"500 W 185th St, New York, NY 10033"
University of Illinois at Chicago,"1200 W Harrison St, Chicago, IL 60607"
University of Missouri–Columbia,"Columbia, MO 65211"
University of Miami,"1320 S Dixie Hwy, Coral Gables, FL 33146"
Georgetown University,"3700 O St NW, Washington, DC 20057"
Wake Forest University,"1834 Wake Forest Rd, Winston-Salem, NC 27109"
"University of California, Riverside","900 University Ave, Riverside, CA 92521"
"University of Tennessee, Knoxville","Knoxville, TN 37996"
Virginia Commonwealth University,"907 Floyd Ave, Richmond, VA 23284"
Colorado State University,"Fort Collins, CO 80523"
University of Houston,"4302 University Dr, Houston, TX 77004"
Oregon Health & Science University,"3181 SW Sam Jackson Park Rd, Portland, OR 97239"
Oregon State University,"1500 SW Jefferson Way, Corvallis, OR 97331"
Virginia Tech,"Blacksburg, VA 24061"
Florida State University,"222 S Copeland St, Tallahassee, FL 32306"
"University of California, Santa Cruz","1156 High St, Santa Cruz, CA 95064"
University at Buffalo,"190 Founders Prom, Getzville, NY 14068"
University of South Florida,"4202 E Fowler Ave, Tampa, FL 33620"
Wayne State University,"42 W Warren Ave, Detroit, MI 48202"
University of Delaware,"210 S College Ave, Newark, DE 19716"
University of Kentucky,"Lexington, KY 40506"
Louisiana State University,"Baton Rouge, LA 70803"
University of New Mexico,"Albuquerque, NM 87131"
University of Nebraska–Lincoln,"1400 R St, Lincoln, NE 68588"
Washington State University,"255 E Main St, Pullman, WA 99163"
George Washington University,"2121 I St NW, Washington, DC 20052"
Southern Methodist University,"Dallas, TX 75205"
Northeastern University,"360 Huntington Ave, Boston, MA 02115"
University of South Carolina - Columbia,"Columbia, SC 29208"
City College of New York,"160 Convent Ave, New York, NY 10031"
Temple University,"1801 N Broad St, Philadelphia, PA 19122"
Drexel University,"3141 Chestnut St, Philadelphia, PA 19104"
University of Oregon,"1585 E 13th Ave, Eugene, OR 97403"
University of Texas at Dallas,"800 W Campbell Rd, Richardson, TX 75080"
"University at Albany, SUNY","1400 Washington Ave, Albany, NY 12222"
Amherst College,"Amherst, MA 01002"
Indiana University – Purdue University Indianapolis,"420 University Blvd, Indianapolis, IN 46202"
Texas Tech University,"2500 Broadway W, Lubbock, TX 79409"
Thomas Jefferson University,"4201 Henry Ave, Philadelphia, PA 19144"
University of Mississippi,"University, MS 38677"
Tulane University,"6823 St Charles Ave, New Orleans, LA 70118"
University of Texas Health Science Center at San Antonio,"7703 Floyd Curl Dr, San Antonio, TX 78229"
Medical College of Wisconsin,"8701 W Watertown Plank Rd, Milwaukee, WI 53226"
University of Colorado Denver,"1201 Larimer St, Denver, CO 80204"
University of Vermont,"Burlington, VT 05405"
University of Alabama - Tuscaloosa,"Tuscaloosa, AL 35487"
Syracuse University,"900 S Crouse Ave, Syracuse, NY 13244"
University of Central Florida,"4000 Central Florida Blvd, Orlando, FL 32816"
University of Louisville,"2301 S 3rd St, Louisville, KY 40292"
Florida International University,"11200 SW 8th St, Miami, FL 33199"
George Mason University,"4400 University Dr, Fairfax, VA 22030"
Oklahoma State University,"Stillwater, OK"
West Virginia University,"Morgantown, WV 26506"
Baylor University,"1311 S 5th St, Waco, TX 76706"
Lehigh University,"27 Memorial Dr W, Bethlehem, PA 18015"
University of Hawaii at Manoa,"2500 Campus Rd, Honolulu, HI 96822"
Rush University,"1653 W Congress Pkwy #12, Chicago, IL 60612"
Swarthmore College,"500 College Ave, Swarthmore, PA 19081"
Boston College,"140 Commonwealth Ave, Chestnut Hill, MA 02467"
Colorado School of Mines,"1500 Illinois St, Golden, CO 80401"
Georgia State University,"Atlanta, GA 30302"
University of Arkansas - Fayetteville,"Fayetteville, AR 72701"
Rensselaer Polytechnic Institute,"110 8th St, Troy, NY 12180"
Clemson University,"105 Sikes Hall, Clemson, SC 29634"
Mayo Clinic College of Medicine and Science,"200 1st St SW, Rochester, MN 55905"
San Diego State University,"5500 Campanile Dr, San Diego, CA 92182"
University of Texas at Arlington,"701 S Nedderman Dr, Arlington, TX 76019"
Illinois Institute of Technology,"10 W 35th St, Chicago, IL 60616"
Auburn University,"Auburn, AL 36849"
University of Wisconsin–Milwaukee,"3203 N Downer Ave, Milwaukee, WI 53211"
College of William & Mary,"200 Stadium Dr, Williamsburg, VA 23185"
University of Nebraska Medical Center,"S 42nd &, Emile St, Omaha, NE 68198"
Haverford College,"370 Lancaster Ave, Haverford, PA 19041"
Brigham Young University,"Provo, UT 84602"
Utah State University,"Old Main Hill, Logan, UT 84322"
Cold Spring Harbor Laboratory,"1 Bungtown Rd, Cold Spring Harbor, NY 11724"
University of New Hampshire,"105 Main St, Durham, NH 03824"
Binghamton University,"4400 Vestal Pkwy E, Binghamton, NY 13902"
University of Texas Medical Branch,"301 University Blvd, Galveston, TX 77555"
University of Wyoming,"1000 E University Ave, Laramie, WY 82071"
University of Texas at San Antonio,"1 UTSA Circle, San Antonio, TX 78249"
"University of Maine, Orono","168 College Ave, Orono, ME 04469"
"University of Nevada, Reno","1664 N Virginia St, Reno, NV 89557"
University of Oklahoma Health Sciences Center,"1100 N Lindsay Ave, Oklahoma City, OK 73104"
"University of North Texas, Denton","1155 Union Cir, Denton, TX 76205"
University of Missouri-Kansas City,"5000 Holmes St, Kansas City, MO 64110"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
University of Iowa,"Iowa City, IA 52242"
University of Iowa,"Iowa City, IA 52242"
Michigan State University,"East Lansing, MI"
Michigan State University,"East Lansing, MI"
Iowa State University,"Ames, IA 50011"
Iowa State University,"Ames, IA 50011"
Arizona State University,"1151 S Forest Ave, Tempe, AZ"
North Carolina State University,"Raleigh, NC 27695"
University of Missouri–Columbia,"Columbia, MO 65211"
"University of Tennessee, Knoxville","Knoxville, TN 37996"
Colorado State University,"Fort Collins, CO 80523"
Virginia Tech,"Blacksburg, VA 24061"
University of Kentucky,"Lexington, KY 40506"
Louisiana State University,"Baton Rouge, LA 70803"
University of New Mexico,"Albuquerque, NM 87131"
Southern Methodist University,"Dallas, TX 75205"
University of South Carolina - Columbia,"Columbia, SC 29208"
Amherst College,"Amherst, MA 01002"
University of Mississippi,"University, MS 38677"
University of Vermont,"Burlington, VT 05405"
University of Alabama - Tuscaloosa,"Tuscaloosa, AL 35487"
Oklahoma State University,"Stillwater, OK"
West Virginia University,"Morgantown, WV 26506"
Georgia State University,"Atlanta, GA 30302"
University of Arkansas - Fayetteville,"Fayetteville, AR 72701"
Auburn University,"Auburn, AL 36849"
Brigham Young University,"Provo, UT 84602"
Montana State University - Bozeman,"Culbertson Hall, 100, Bozeman, MT 59717"
University of Massachusetts Boston,"100 Morrissey Blvd, Boston, MA 02125"
Antioch College,"1 Morgan Pl, Yellow Springs, OH 45387"
University of Alaska Fairbanks,"505 S Chandalar, Fairbanks, AK 99775"
Augusta University,"1120 15th St, Augusta, GA 30912"
SUNY Downstate Medical Center,"445 Lenox Rd, Brooklyn, NY 11203"
University of Idaho,"875 Perimeter Dr, Moscow, ID 83844"
Kent State University,"800 E Summit St, Kent, OH 44240"
University of Montana,"32 Campus Dr, Missoula, MT 59812"
Ohio University,"Athens, OH 45701"
Northern Illinois University,"Barsema Alumni and Visitors Center, 231 N Annie Glidden Rd, DeKalb, IL 60115"
University of North Carolina at Charlotte,"9201 University City Blvd, Charlotte, NC 28223"
University of Rhode Island,"45 Upper College Rd, Kingston, RI 02881"
University of Denver,"2199 S University Blvd, Denver, CO 80210"
University of Toledo,"2801 Bancroft St, Toledo, OH 43606"
Miami University,"501 E High St, Oxford, OH 45056"
Old Dominion University,"5115 Hampton Blvd, Norfolk, VA 23529"
"University of Nevada, Las Vegas","4505 S Maryland Pkwy, Las Vegas, NV 89154"
Rutgers University–Newark,"195 University Ave, Newark, NJ 07102"
Wesleyan University,"45 Wyllys Ave, Middletown, CT 06459"
"University of California, Merced","5200 Lake Rd, Merced, CA 95343"
University of Louisiana at Lafayette,"104 E University Ave, Lafayette, LA 70504"
Uniformed Services University of the Health Sciences,"4301 Jones Bridge Rd, Bethesda, MD 20814"
Northern Arizona University,"S San Francisco St, Flagstaff, AZ 86011"
Southern Illinois University Carbondale,"1263 Lincoln Dr, Carbondale, IL 62901"
University of Akron,"302 E Buchtel Ave, Akron, OH 44325"
New Mexico State University,"1780 E University Ave, Las Cruces, NM 88003"
East Carolina University,"E 5th St, Greenville, NC 27858"
Michigan Technological University,"1400 Townsend Dr, Houghton, MI 49931"
North Dakota State University,"1340 Administration Ave, Fargo, ND 58105"
Oberlin College,"173 W Lorain St, Oberlin, OH 44074"
Missouri University of Science and Technology,"Parker Hall, 106, 300 W 13th St, Rolla, MO 65409"
Pepperdine University,"24255 Pacific Coast Hwy, Malibu, CA 90263"
Claremont McKenna College,"888 N Columbia Ave, Claremont, CA 91711"
Bucknell University,"One Dent Dr, Lewisburg, PA 17837"
Sanford Burnham Prebys Medical Discovery Institute,"10901 N Torrey Pines Rd, La Jolla, CA 92037"
Colgate University,"13 Oak Dr E Ext, Hamilton, NY 13346"
New Jersey Institute of Technology,"323 Dr Martin Luther King Jr Blvd, Newark, NJ 07102"
Pomona College,"333 N College Way, Claremont, CA 91711"
University of Memphis,"3720 Alumni Ave, Memphis, TN 38152"
University of Texas Rio Grande Valley,"1201 W University Dr, Edinburg, TX 78539"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
University of Iowa,"Iowa City, IA 52242"
University of Iowa,"Iowa City, IA 52242"
University of Iowa,"Iowa City, IA 52242"
University of Iowa,"Iowa City, IA 52242"
Michigan State University,"East Lansing, MI"
Michigan State University,"East Lansing, MI"
Michigan State University,"East Lansing, MI"
Michigan State University,"East Lansing, MI"
Iowa State University,"Ames, IA 50011"
Iowa State University,"Ames, IA 50011"
Iowa State University,"Ames, IA 50011"
Iowa State University,"Ames, IA 50011"
Arizona State University,"1151 S Forest Ave, Tempe, AZ"
Arizona State University,"1151 S Forest Ave, Tempe, AZ"
North Carolina State University,"Raleigh, NC 27695"
North Carolina State University,"Raleigh, NC 27695"
The Scripps Research Institute,"10550 N Torrey Pines Rd, La Jolla, CA 92037"
University of Missouri–Columbia,"Columbia, MO 65211"
University of Missouri–Columbia,"Columbia, MO 65211"
"University of Tennessee, Knoxville","Knoxville, TN 37996"
"University of Tennessee, Knoxville","Knoxville, TN 37996"
Colorado State University,"Fort Collins, CO 80523"
Colorado State University,"Fort Collins, CO 80523"
Virginia Tech,"Blacksburg, VA 24061"
Virginia Tech,"Blacksburg, VA 24061"
University of Kentucky,"Lexington, KY 40506"
University of Kentucky,"Lexington, KY 40506"
Louisiana State University,"Baton Rouge, LA 70803"
Louisiana State University,"Baton Rouge, LA 70803"
University of New Mexico,"Albuquerque, NM 87131"
University of New Mexico,"Albuquerque, NM 87131"
Southern Methodist University,"Dallas, TX 75205"
Southern Methodist University,"Dallas, TX 75205"
University of South Carolina - Columbia,"Columbia, SC 29208"
University of South Carolina - Columbia,"Columbia, SC 29208"
Amherst College,"Amherst, MA 01002"
Amherst College,"Amherst, MA 01002"
University of Mississippi,"University, MS 38677"
University of Mississippi,"University, MS 38677"
University of Vermont,"Burlington, VT 05405"
University of Vermont,"Burlington, VT 05405"
University of Alabama - Tuscaloosa,"Tuscaloosa, AL 35487"
University of Alabama - Tuscaloosa,"Tuscaloosa, AL 35487"
Oklahoma State University,"Stillwater, OK"
Oklahoma State University,"Stillwater, OK"
West Virginia University,"Morgantown, WV 26506"
West Virginia University,"Morgantown, WV 26506"
Georgia State University,"Atlanta, GA 30302"
Georgia State University,"Atlanta, GA 30302"
University of Arkansas - Fayetteville,"Fayetteville, AR 72701"
University of Arkansas - Fayetteville,"Fayetteville, AR 72701"
Auburn University,"Auburn, AL 36849"
Auburn University,"Auburn, AL 36849"
Brigham Young University,"Provo, UT 84602"
Brigham Young University,"Provo, UT 84602"
Ohio University,"Athens, OH 45701"
Florida Institute of Technology,"150 W University Blvd, Melbourne, FL 32901"
Hunter College,"695 Park Ave, New York, NY 10065"
American University,"4400 Massachusetts Ave NW, Washington, DC 20016"
Creighton University,"2500 California Plz, Omaha, NE 68178"
Louisiana Tech University,"201 Mayfield Ave, Ruston, LA 71272"
United States Naval Academy,"121 Blake Rd, Annapolis, MD 21402"
University of Texas at El Paso,"500 W University Ave, El Paso, TX 79968"
SUNY Upstate Medical University,"750 E Adams St, Syracuse, NY 13210"
Manhattan College,"4513 Manhattan College Pkwy, Bronx, NY 10471"
Villanova University,"800 Lancaster Ave, Villanova, PA 19085"
Rochester Institute of Technology,"1 Lomb Memorial Dr, Rochester, NY 14623"
Smith College,"Northampton, MA 01063"
Fordham University,"Bronx, NY 10458"
University of Puerto Rico at Mayagüez,"259 Av. Alfonso Valdés Cobián, Mayagüez, 00680, Puerto Rico"
Florida Atlantic University,"777 Glades Rd, Boca Raton, FL 33431"
Worcester Polytechnic Institute,"100 Institute Rd, Worcester, MA 01609"
University of North Carolina at Greensboro,"1400 Spring Garden St, Greensboro, NC 27412"
College of the Holy Cross,"1 College St, Worcester, MA 01610"
Loma Linda University,"11175 Campus St, Loma Linda, CA 92354"
University of Massachusetts Lowell,"220 Pawtucket St, Lowell, MA 01854"
"California State University, Fresno","5241 N Maple Ave, Fresno, CA 93740"
South Dakota State University,"1451 Stadium Rd, Brookings, SD 57007"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
University of Iowa,"Iowa City, IA 52242"
Michigan State University,"East Lansing, MI"
Iowa State University,"Ames, IA 50011"
Arizona State University,"1151 S Forest Ave, Tempe, AZ"
North Carolina State University,"Raleigh, NC 27695"
University of Missouri–Columbia,"Columbia, MO 65211"
"University of Tennessee, Knoxville","Knoxville, TN 37996"
Colorado State University,"Fort Collins, CO 80523"
Virginia Tech,"Blacksburg, VA 24061"
University of Kentucky,"Lexington, KY 40506"
Louisiana State University,"Baton Rouge, LA 70803"
University of New Mexico,"Albuquerque, NM 87131"
Southern Methodist University,"Dallas, TX 75205"
University of South Carolina - Columbia,"Columbia, SC 29208"
Amherst College,"Amherst, MA 01002"
University of Mississippi,"University, MS 38677"
University of Vermont,"Burlington, VT 05405"
University of Alabama - Tuscaloosa,"Tuscaloosa, AL 35487"
Oklahoma State University,"Stillwater, OK"
West Virginia University,"Morgantown, WV 26506"
Georgia State University,"Atlanta, GA 30302"
University of Arkansas - Fayetteville,"Fayetteville, AR 72701"
Auburn University,"Auburn, AL 36849"
Brigham Young University,"Provo, UT 84602"
Ohio University,"Athens, OH 45701"
Smith College,"Northampton, MA 01063"
Fordham University,"Bronx, NY 10458"
University of Puerto Rico at Mayagüez,"259 Av. Alfonso Valdés Cobián, Mayagüez, 00680, Puerto Rico"
San Francisco State University,"1600 Holloway Ave, San Francisco, CA 94132"
Wright State University,"3640 Colonel Glenn Hwy, Dayton, OH 45435"
Marquette University,"1250 W Wisconsin Ave, Milwaukee, WI 53233"
New York Medical College,"40 Sunshine Cottage Rd, Valhalla, NY 10595"
Hofstra University,"1000 Hempstead Tpke, Hempstead, NY 11549"
Howard University,"2400 6th St NW, Washington, DC 20059"
United States Military Academy,"606 Thayer Rd, West Point, NY 10996"
Stevens Institute of Technology,"1 Castle Point Terrace, Hoboken, NJ 07030"
Santa Clara University,"500 El Camino Real, Santa Clara, CA 95053"
University of Missouri-St. Louis,"1 University Blvd, St. Louis, MO 63121"
University of Dayton,"300 College Park, Dayton, OH 45469"
"California Polytechnic State University, San Luis Obispo","1 Grand Ave, San Luis Obispo, CA 93407"
Clark University,"950 Main St, Worcester, MA 01610"
Oakland University,"318 Meadow Brook Rd, Rochester, MI 48309"
University of North Dakota,"Grand Forks, ND 58202"
Albany Medical College,"43 New Scotland Ave, Albany, NY 12208"
Menlo College,"1000 El Camino Real, Atherton, CA 94027"
University of Alabama in Huntsville,"Shelby Center for Science and Technology, 301 Sparkman Dr NW, Huntsville, AL 35899"
"University of Puerto Rico, Medical Sciences Campus","9WWG+H5P, P.º Dr. José Celso Barbosa, San Juan, 00921, Puerto Rico"
Catholic University of America,"620 Michigan Ave NE, Washington, DC 20064"
Texas State University,"601 University Dr, San Marcos, TX 78666"
Boise State University,"1910 W University Dr, Boise, ID 83725"
SUNY College of Environmental Science and Forestry,"1 Forestry Dr, Syracuse, NY 13210"
Bowling Green State University,"1001 E Wooster St, Bowling Green, OH 43403"
"California State University, Fullerton","800 N State College Blvd, Fullerton, CA 92831"
Hampton University,"100 E Queen St, Hampton, VA 23669"
"California State University, Northridge","18111 Nordhoff St, Northridge, CA 91330"
San Jose State University,"1 Washington Sq, San Jose, CA 95192"
Western Michigan University,"1903 W Michigan Ave, Kalamazoo, MI 49008"
University of South Alabama,"307 N University Blvd, Mobile, AL 36688"
Carleton College,"Sayles Hill Campus Center, North College Street, Northfield, MN 55057"
Grinnell College,"1115 8th Ave, Grinnell, IA 50112"
Williams College,"880 Main St, Williamstown, MA 01267"
"California State University, Long Beach","1250 Bellflower Blvd, Long Beach, CA 90840"
Clarkson University,"8 Clarkson Ave, Potsdam, NY 13699"
Fairfield University,"1073 N Benson Rd, Fairfield, CT 06824"
University of South Dakota,"414 E Clark St, Vermillion, SD 57069"
University of Minnesota Duluth,"1049 University Dr, Duluth, MN 55812"
University of Southern Mississippi,"118 College Dr, Hattiesburg, MS 39406"
Baruch College,"55 Lexington Ave, New York, NY 10010"
Texas Tech University Health Sciences Center,"3601 4th St, Lubbock, TX 79430"
Nova Southeastern University,"3300 S University Dr, Fort Lauderdale, FL 33328"
University of San Francisco,"2130 Fulton St, San Francisco, CA 94117"
Ball State University,"2000 W University Ave, Muncie, IN 47306"
Central Michigan University,"1200 S Franklin St, Mt Pleasant, MI 48859"
Illinois State University,"100 N University St, Normal, IL 61761"
Texas Christian University,"2800 S University Dr, Fort Worth, TX 76109"
University of Tulsa,"800 S Tucker Dr, Tulsa, OK 74104"
Montclair State University,"1 Normal Ave, Montclair, NJ 07043"
"Queens College, City University of New York","65-30 Kissena Blvd, Flushing, NY 11367"
Utah Valley University,"800 W University Pkwy, Orem, UT 84058"
Eastern Virginia Medical School,"825 Fairfax Ave, Norfolk, VA 23507"
Trinity University,"1 Trinity Pl, San Antonio, TX 78212"
Ohio Wesleyan University,"61 S Sandusky St, Delaware, OH 43015"
Cooper Union,"February 27, 1860"
Claremont Graduate University,"150 E 10th St, Claremont, CA 91711"
Cleveland State University,"2121 Euclid Ave, Cleveland, OH 44115"
Georgia Southern University,"1332 Southern Dr, Statesboro, GA 30458"
University of Massachusetts Dartmouth,"285 Old Westport Rd, North Dartmouth, MA 02747"
Brooklyn College,"2900 Bedford Ave, Brooklyn, NY 11210"
Rowan University,"201 Mullica Hill Rd, Glassboro, NJ 08028"
University of North Carolina Wilmington,"601 College Rd, Wilmington, NC 28403"
Western Washington University,"516 High St, Bellingham, WA 98225"
