Address,City,State,Zip,County
"1001 Perimeter Summit","Atlanta","GA","30,319","DeKalb County"
"1575 NE Expressway","Atlanta","GA","30,329","DeKalb County"
"One Park","Nashville","TN","37,203","Davidson County"
"810 Vermont","Washington","DC","20,420","District of Columbia"
"444 W Lake","Chicago","IL","60,606","Cook County"
"4600 Edmundson","St Louis","MO","63,134","St. Louis County"
"330 Seven Springs","Brentwood","TN","37,027","Williamson County"
"20555 Victor","Livonia","MI","48,152","Wayne County"
"680 S 4th","Louisville","KY","40,202","Jefferson County"
"4000 Meridian","Franklin","TN","37,067","Williamson County"
"2025 Windsor","Oak Brook","IL","60,523","DuPage County"
"14201 Dallas","Dallas","TX","75,254","Dallas County"
"900 Cottage Grove","Bloomfield","CT","6,002","Hartford County"
"11000 Optum","Eden Prarie","MN","55,344","Hennepin County"
"1 Kaiser","Oakland","CA","94,612","Alameda County"
"220 Virginia","Indianapolis","IN","46,204","Marion County"
"1400 S Boston","Tulsa","OK","74,119","Tulsa County"
"9900 Bren","Hopkins","MN","55,343","Hennepin County"
"7700 Forsyth","St Louis","MO","63,105","St. Louis County"
"One Barnes Jewish Hospital","St Louis","MO","63,110","St. Louis City"
"75 Francis","Boston","MA","2,115","Suffolk County"
"8700 Beverly","Los Angeles","CA","90,048","Los Angeles County"
"9500 Euclid","Cleveland","OH","44,195","Cuyahoga County"
"200 1st St SW","Rochester","MN","55,905","Olmsted County"
"One Adventist Health","Roseville","CA","95,661","Placer County"
"1901 Campus","Louisville","KY","40,299","Jefferson County"
"1 CVS","Woonsocket","RI","2,895","Providence County"
"108 Wilmot","Deerfield","IL","60,015","Lake County"
"One Johnson and Johnson","New Brunswick","NJ","8,933","Middlesex County"
"One Health Plaza","East Hanover","NJ","7,936","Morris County"
"9115 Hague","Indianapolis","IN","46,250","Marion County"
"1 N Waukegan","North Chicago","IL","60,064","Lake County"
"66 Hudson","New York","NY","10,001","New York County"
"126 E Lincoln","Rahway","NJ","7,065","Union County"
"301 E Henry","Indianapolis","IN","46,285","Marion County"
"One Amgen Center","Thousand Oaks","CA","91,320","Ventura County"
"410 Blackwell","Durham","NC","27,701","Durham County"
"3401 Priceton","Lawrence Township","NJ","8,648","Mercer County"
"333 Lakeside","Foster City","CA","94,404","San Mateo County"
"100 Abbott Park","Abbott Park","IL","60,064","Lake County"
"1800 Concord","Wilminton","DE","19,897","New Castle County"
"777 Old Saw Mill River","Tarrytown","NY","10,591","Westchester County"
"800 Scudders Mill","Plainsboro","NJ","8,536","Middlesex County"
"100 Bayer","Whippany","NJ","7,981","Morris County"
"55 Corporate","Bridgewater","NJ","8,807","Somerset County"
"200 Technology","Cambridge","MA","2,139","Middlesex County"
"1000 Mylan","Canonsburg","PA","15,317","Washington County"
"238 Main","Cambridge","MA","2,142","Middlesex County"
"100 5th","Waltham","MA","2,451","Middlesex County"
"12830 El Camino Real","San Diego","CA","92,130","San Diego County"
"40 Erie","Cambridge","MA","2,139","Middlesex County"
"700 Universe","Juno Beach","FL","33,408","Palm Beach County"
"700 Universe","Juno Beach","FL","33,408","Palm Beach County"
"2244 Walnut Grove","Rosemead","CA","91,770","Los Angeles County"
"77 Beale","San Francisco","CA","94,177","San Francisco County"
"4 irving","New York","NY","10,003","New York County"
"120 Tredegar","Richmond","VA","23,219","Richmond City"
"543 Atlanta","Cumming","GA","30,040","Forsyth County"
"6100 N Western","Oklahoma City","OK","73,118","Oklahoma County"
"1201 Lake Robbins","Woodlands","TX","77,380","Montgomery County"
"333 W Sheridan","Oklahoma City","OK","73,102","Oklahoma County"
"501 Westlake Park","Houston","TX","77,079","Harris County"
"925 N Eldridge Parkway","Houston","TX","77,079","Harris County"
"6001 Bollinger Canyon","San Ramon","CA","94,583","Contra Costa County"
"One Williams","Tulsa","OK","74,102","Tulsa County"
"5959 Las Colinas","Irving","TX","75,039","Dallas County"
"370 17th","Denver","CO","80,202","Denver County"
"10000 Energy","Spring","TX","77,389","Harris County"
"10 S Dearborn","Chicago","IL","60,680","Cook County"
"526 S Church","Charlotte","NC","28,202","Mecklenburg County"
"30 Ivan Allen","Atlanta","GA","30,308","Fulton County"
"1 Riverside","Columbus","OH","43,215","Franklin County"
"One Energy","Detroit","MI","48,202","Wayne County"
"2705 West lake","Taylor","TX","76,574","Williamson County"
"701 Market","St Louis","MO","63,101","St. Louis City"
"340 Martin Luther King Jr","Bristol","TN","37,620","Sullivan County"
"12377 Merit","Dallas","TX","75,251","Dallas County"
"1000 Main","Houston","TX","77,002","Harris County"
"180 Marsh Hill","Orange","CT","6,477","New Haven County"
"1550 Digital","Lehi","UT","84,043","Utah County"
"350 W Washington","Tempe","AR","85,288","Maricopa County"
"47281 Bayside","Fremont","CA","94,538","Alameda County"
"230 Great Circle","Nashville","TN","37,228","Davidson County"
"200 Liberty","New York","NY","10,281","New York County"
"684 Winder","Lawrenceville","GA","30,045","Gwinnett County"
"430 17th","Washington","DC","20,006","District of Columbia"
"14185 Dallas","Dallas","TX","75,254","Dallas County"
"s45 w29290 WI-59","Waukesha","WI","53,189","Waukesha County"
"3m Center Building 225-1s-23","Saint Paul","MN","55,144","Ramsey County"
"2455 Paces Ferry","Atlanta","GA","30,339","Cobb County"
