Account Name,City,County,State,Status,Budget Cycle,Engagement Date,Proposal Sent,ZIP,Agency Count,Budget Cycle,CPE Contract end date,Organization Type,Population,Category Type,Sworn Officers,Total Employees, Dispatch Seats ,Jail Beds,CAD Vendor,Dispatched By,CAD vendor since,RMS Vendor,RMS vendor since,CPE Vendor,CPE Last Upgraded,CPE Contract End,Jail Vendor,Jail vendor since,ANL Vendor ID
Alaska Department of Public Safety,Anchorage,Anchorage,AK,,,,,99507,1,,,"Police, State",298192,Law,370,450,  15.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2006,In House Custom System*,,CentralSquare / Superion / SunGard / OSSI*,,,,,In House Custom System*
Municipality of Anchorage,Anchorage,Anchorage,AK,,,,,99507-1500,1,,,"Police, Municipal",260283,Law,436,600,  16.00 ,0,CentralSquare / TriTech / Tiburon*,,4/1/2019,CentralSquare / TriTech / Tiburon*,1/1/2008,Intrado / West / Viper*,,,,,CentralSquare / TriTech / Tiburon*
Fairbanks Police Department,Fairbanks,Fairbanks North,AK,,,,,99701-4514,1,,,"Police, Municipal",70000,Law,45,36,,0,Does not use*,Fairbanks Emergency Communications Center (FECC),,CentralSquare / Superion / SunGard / OSSI*,1/1/1999,,,,,,CentralSquare / Superion / SunGard / OSSI*
Juneau Police Department,Juneau,Juneau,AK,,,,,99801-1317,1,,,"Police, Municipal",30711,Law,50,100,  5.00 ,0,CentralSquare  / TriTech / VisionAIR*,,1/1/2000,CentralSquare  / TriTech / VisionAIR*,1/1/2000,,,,,,
Ketchikan Police Department,Ketchikan,Ketchikan Gateway,AK,,,,,99901-6429,1,,,"Police, Municipal",12500,Law,24,34,  3.00 ,0,Lotus Notes,,1/1/2006,Lotus Notes,1/1/2006,,,,,,
University of Alaska at Fairbanks,Fairbanks,Fairbanks North,AK,,,,,99775 5560,1,,,"Police, University & College",10000,Law,7,15,  3.00 ,0,Intellichoice / eFORCE,,,Intellichoice / eFORCE,1/1/2006,,,,,,
Unalaska Department Of Public Safety,Unalaska,Aleutians,AK,,,,,99685-0370,1,,,"Police, Municipal",10000,Law,15,32,  2.00 ,0,,,,Caliber Public Safety / Sleuth*,1/1/2006,,,,,,
Wasilla Police Department,Wasilla,Matanuska-Susit,AK,,,,,99654,1,,,"Police, Municipal",9800,Law,25,60,  8.00 ,0,CentralSquare / TriTech / Inform*,,1/1/2006,CentralSquare / TriTech / Inform*,1/1/2006,TCS / Comtech / Microdata,,,,,CentralSquare / TriTech / Inform*
Sitka Police Department,Sitka,Sitka,AK,,,,,99835-7563,1,,,"Police, Municipal",8900,Law,16,30,  2.00 ,0,CentralSquare / Superion / SunGard / HTE*,,1/1/1986,CentralSquare / Superion / SunGard / HTE*,1/1/1986,CentralSquare / Superion / SunGard / OSSI*,,,,,CentralSquare / Superion / SunGard / OSSI*
Kenai Police Department,Kenai,Kenai Peninsula,AK,,,,,99611,1,,,"Police, Municipal",7700,Law,17,26,  2.00 ,0,,,,,,,,,,,
Palmer Police Department,Palmer,Matanuska-Susit,AK,,,,,99645-6424,1,,,"Police, Municipal",7209,Law,13,28,  4.00 ,0,Caliber Public Safety / InterAct*,,,ASPIN - Alaska Public Safety Information Network,,,,,,,
Dillingham Police Department,Dillingham,Dillingham (CA),AK,,,,,99576-0869,1,,,"Police, Municipal",7000,Law,7,18,  1.00 ,8,End2End / ARMS*,,1/1/2019,End2End / ARMS*,1/1/2019,End2End / ARMS*,,,End2End / ARMS*,1/1/2019,End2End / ARMS*
Kodiak Police Department,Kodiak,Kodiak Island,AK,,,,,99615-7340,1,,,"Police, Municipal",6274,Law,18,39,  3.00 ,24,,,,In House Custom System*,1/1/2003,,,,,,Motorola Solutions / Crime Reports
Bethel Police Department,Bethel,Bethel,AK,,,,,99559-0500,1,,,"Police, Municipal",6000,Law,13,17,  2.00 ,0,Intellichoice / eFORCE,,1/1/2001,Intellichoice / eFORCE,1/1/2001,,,,,,
Nome Police Department,Nome,Nome (CA),AK,,,,,99762-1230,1,,,"Police, Municipal",4500,Law,17,22,  3.00 ,0,Radio's,,,CrimeStar*,1/1/2005,,,,,,
Homer Police Department,Homer,Kenai Peninsula,AK,,,,,99603-7679,1,,,"Police, Municipal",4200,Law,12,30,  3.00 ,0,Justice Solutions*,,,Justice Solutions*,,microdata,,,,,Justice Solutions*
Valdez Police Department,Valdez,Valdez-Cordova,AK,,,,,99686-0307,1,,,"Police, Municipal",3862,Law,10,24,  1.00 ,20,,,,,,,,,,,
Petersburg Borough Police Department,Petersburg,Wrangell-Peters,AK,,,,,99833-0329,1,,,"Police, Municipal",3162,Law,7,11,  2.00 ,10,,,,,,,,,,,
Haines Police Department,Haines,Haines,AK,,,,,99827-1049,1,,,"Police, Municipal",1538,Law,5,12,  2.00 ,6,In House Custom System*,,,In House Custom System*,,Zetron*,,,In House Custom System*,,
Skagway Police Department,Skagway,Skagway-Hoonah-,AK,,,,,99840,1,,,"Police, Municipal",1057,Law,4,11,  1.00 ,4,,,,,,Motorola Solutions / CallWorks*,,,,,
Hoonah City Police Department,Hoonah,Skagway-Hoonah-,AK,,,,,99829,1,,,"Police, Municipal",860,Law,4,8,  1.00 ,0,CrimeStar*,,10/1/2014,CrimeStar*,1/1/2014,,,,,,
