,Per State,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,State Data,,,,,,,,,,,Carbyne Future State,Carbyne Current State,,,,,,
,`,POD,State,Population,PSAPs,Dispatch Seats,State wide Contract for Call Taking,Statewide Call taking Provider,Network Type,Network Provider,Statewide Connectivity,Ideal State RSM Coverage,Seats Deployed ,APEX PSAPs Deployed,Universe PSAPs Deployed,TAM Analysis ,911 TAM,Non 911 TAM,Number of Seats
,USA,Central POD,Alabama,"4,934,193",150,955,No,N/A,ESInet,INdigital,Yes,16,,,,,,,955.0
,USA,West POD,Alaska,"720,763",101,114,No,,E911,Own Network (ICN),,27,,,,,,,114.0
,USA,West POD,Arizona,"7,379,346",124,606,Yes,AT&T Vesta / Comtech Solacom,ESInet,"AT&T i3, Lumen",Yes,24,,,,,,,606.0
,USA,Central POD,Arkansas,"3,059,156",117,385,,,ESInet,AT&T Intrado i3,Yes,19,,,,,,,385.0
,USA,West POD,Colorado,"5,839,926",94,780,No,Primarily Viper,RFAI,Lumen,Yes,25,,,,,,,780.0
,USA,East POD,Connecticut,"3,605,597",111,414,Yes,"Intrado, Viper ",ESInet,Lumen,,3,,,,,,,414.0
,USA,,Delaware,"1,000,000",16,163,Yes,"Intrado, Viper ",E911,,,,,,,,,,163.0
,USA,East POD,Florida,"21,781,128",249,"1,909",,,ESInet,,No,8,,,,,,,1909.0
,USA,East POD,Georgia,"10,711,908",205,"1,429",No,N/A,ESInet,AT&T Intrado i3,No,7,,,,https://docs.google.com/document/d/1q8pCns1kZZC_GPZMGpJqXly4QZYOiGxpf_j11huPcdI/edit,"$27,150,000","$98,020,000",1429.0
,USA,West POD,Hawaii,"1,433,336",11,42,,,,,,27,,,,,,,42.0
,USA,West POD,Idaho,"1,928,385",73,175,No,,E911,E911/Cama Trunks,,26,,,,,,,175.0
,USA,Central POD,Illinois,"12,812,508",193,"1,572",,,ESInet,AT&T,Yes,14,,,,,,,1572.0
,USA,Central POD,Indiana,"6,845,874",119,705,,,ESInet,INdigital / AT&T,Yes,15,,,,,,,705.0
,USA,Central POD,Iowa,"3,192,406",124,312,,,ESInet,Own network (ICN),Yes,18,,,,,,,312.0
